date,losses,player,wins
2003-12-18,6,Wang Shuo (s),12
1976-08-14,464,Hane Naoki,571
1994-02-27,78,Hirata Tomoya,88
1996-02-21,94,Sun Zhe,122
2000-07-05,16,Chen Hanqi,15
1989-07-20,68,Guo Wenchao,62
1989-02-10,148,Park Seunghwa,105
1998-09-18,201,Fujisawa Rina,273
1987-03-30,112,Ko Keuntae,103
1996-08-22,71,Huang Xin,43
2001-08-29,24,Geum Jiwoo,27
1985-11-09,266,Peng Quan,278
1980-02-23,205,Zhou Junxun,226
1991-11-08,101,Fujita Akihiko,104
1996-03-24,17,Liu Zhaozhe,12
2001-08-09,40,Hirose Yuichi,53
1992-11-09,29,Park Kyuongkeun,23
1990-08-21,14,Kang Hun (s),12
1991-07-10,99,Yan Huan,79
1984-03-22,130,Rin Kanketsu,126
1985-08-19,131,Anzai Nobuaki,140
1992-12-31,13,Bai Baoxiang,20
1994-04-23,75,Chen Hao,61
1990-12-06,137,Shida Tatsuya,181
1998-06-11,156,Oh Yujin,268
2001-11-28,36,Seki Kotaro,54
1992-07-31,79,Min Sangyoun,66
-,3,Lee Jaesung,6
1999-05-01,109,Mutsuura Yuta,103
1981-08-24,196,Huang Yizhong,193
2000-05-17,16,Zhang Ziliang,9
1989-08-13,66,Kim Sonjin,62
2006-10-08,7,Hu Zihao,12
1990-05-11,91,Han Wonggyu,77
1983-01-26,227,Wang Yao,184
2000-10-12,49,Wang Shiyi,26
1982-01-18,359,Hu Yaoyu,416
1994-06-29,31,Guo Xinyi,17
1999-12-17,29,Kim Sangcheon,37
2001-02-13,16,Xue Guanhua,14
2000-09-05,132,Jian Jingting,189
1975-12-16,26,Kanazawa Hideo,31
1997-07-12,148,Lin Shixun,195
1989-01-01,54,Park Yeonglong,34
1996-08-08,10,Tang Jingxuan,8
1966-02-11,556,Yoda Norimoto,767
1991-04-15,83,Adachi Toshimasa,84
2001-05-08,16,Lyu Liyan,12
1988-11-14,10,Yoo Ohseong,12
1990-11-03,103,Suzuki Shinji,116
1988-09-18,36,Lee Sanghun,32
1981-08-02,27,Hu Yuqing,31
-,2,Yang Zhiwen,3
1988-01-18,57,Cui Can,35
1972-02-11,415,Yuki Satoshi,569
1979-09-25,266,An Joyeong,262
1991-09-21,71,Zhang Qiang,43
1997-11-19,2,Wang Ziang,4
1996-10-07,20,Zheng Xu,10
2006-09-10,7,Wang Chuxuan,10
2001-11-14,44,Otake Yu,45
1990-04-12,80,Wang Tao,64
2001-03-26,21,Cho Wankyu,14
1999-07-23,21,Liu Qifeng,8
1991-06-17,47,Choi Kyeongho,37
1977-06-22,187,Mizokami Tomochika,211
1992-08-31,21,Wang Chen,23
1999-04-26,94,Lu Minquan,142
1999-01-24,25,Li Yuang,12
2001-10-26,99,Ueno Asami,145
1984-08-28,64,Choi Wongyong,39
1999-09-28,18,Han Sangcho,10
2005-01-26,4,Han Zhuoran,5
1981-08-31,118,Tsuruyama Atsushi,107
1998-07-06,54,Koike Yoshihiro,61
2000-05-10,34,Park Jinyoung,27
2000-02-16,24,Shin Jaewon,20
1998-05-13,10,Kwak Wonkeun,11
2007-05-27,24,Kim Eunji,34
2001-12-23,26,Shi Yulai,12
2005-06-12,14,Han Woojin,17
1962-01-26,235,Cao Dayuan,219
1992-01-01,79,Lee Hobum,59
-,30,Zhou Zhenyu,25
1981-10-22,133,Cho Riyu,120
1998-07-23,11,Luo Yan,9
1994-11-22,32,Yokotsuka Riki,27
2001-10-22,25,Chen Yichun,14
1998-01-03,114,Yang Bowei,164
-,2,Ma Shuai,7
1985-10-28,283,Chen Shiyuan,389
1977-12-26,265,Wang Lei (b),319
2000-12-11,11,Zhao Zhongxuan,8
1953-03-10,562,Cho Hunhyun,971
1949-08-13,252,Awaji Shuzo,248
1966-04-25,434,Yoo Changhyuk,600
1979-01-24,148,Kim Sujun,194
2005-12-22,24,Fukuoka Kotaro,33
2002-08-26,40,Hyun Yoobin,35
1987-04-10,212,Ko Iso,204
1979-09-11,205,So Yokoku,196
1973-03-09,37,Wu Xinyu,19
1998-08-23,111,Li Wei,163
1997-01-11,6,Chen Bisen,6
1978-02-02,28,Kim Myeongwan,23
2001-03-29,107,Lu Yiquan,139
1998-08-08,75,Cho Seungah,106
1958-11-07,536,O Rissei,685
1983-10-01,68,Ohba Junya,44
1984-05-25,91,Ohashi Hirofumi,120
1997-12-02,4,Wang Xiru,2
2000-10-06,19,He Yang,13
2001-07-13,6,Hu Xiao,6
1977-11-23,141,Akiyama Jiro,171
1998-01-31,57,Yao Zhiteng,71
-,4,Tang Chongzhe,4
1994-12-23,21,Sotoyanagi Sebun,27
1996-11-17,64,Koyama Kuya,49
1988-11-14,53,You Byungyong,40
1967-04-16,395,Yu Bin,458
1986-08-10,37,Hong Seokui,52
1998-09-03,33,Chen Yusen,14
1992-07-07,19,Ma Tianfang,20
1972-09-09,366,Yamada Kimio,463
