date,losses,player,wins
1964-03-21,30,So Kofuku,13
2001-08-07,11,Sakai Takashi,3
1960-09-12,62,Park Yeongchan,49
1994-10-19,15,Lin Ziyuan,13
2001-08-11,4,Ikemoto Ryota,1
2004-11-01,27,Lin Hanzhang,12
1999-10-16,20,Moro Arisa,12
-,1,Yu Xiaodan,1
-,4,Shi Zhien,2
1995-04-08,42,Zhan Ying,15
1992-11-10,20,Lin Shengyi,13
1970-07-05,8,Kawai Shoji,5
1956-02-10,121,Paek Seongho,91
1952-11-13,94,Oh Kyuchul,66
2005-10-02,5,Tanaka Yuki,3
2002-09-15,16,Kim Nokyeong,6
2004-09-21,17,Park Soyul,7
1998-01-11,10,Huang Daolong,6
2001-06-05,32,Lee Dohyun,14
1955-11-18,30,Kim Chuljung,27
2003-04-23,6,Yokota Hinano,5
1988-01-06,11,Mine Yasuhiro,7
-,10,Lukas Podpera,3
1990-05-07,16,Kikkawa Hajime,4
-,52,Huang Wei,30
1976-07-31,109,Yashiro Kumiko,81
1974-08-06,30,Mitsunaga Junzo,13
2005-03-27,27,Sun Weixun,19
1998-10-25,9,Wang Siyin,3
2003-06-03,6,Seon Seungmin,1
1943-02-18,36,Ishii Shinzo,15
1999-04-29,138,Yu Lijun,72
1993-11-14,57,Gao Yun,33
2008-06-11,13,Xu Haizhe,4
2004-10-20,5,Mao Yanxin,3
-,12,Yin Mingming,3
1972-06-16,28,Miyazaki Ryutaro,9
1997-02-04,40,Chang Hyeryeong,10
-,41,Yang Zi,15
1985-04-24,58,Yang Mengyun,34
1989-02-10,13,Inoue Naoki,4
1957-09-08,82,Jeong Daesang,44
1989-06-28,4,Antti Tormanen,1
1948-04-06,5,Yamazaki Yoshihiro,2
2001-04-12,103,Bai Xinhui,50
2002-09-22,18,Kim Sangin,6
-,3,Liu Yanchang,1
1974-06-14,39,Kuwabara Yoko,27
1975-02-04,13,Kim Pyonmin,8
-,5,Jia Xinyi,1
2003-02-10,15,Mori Chisaki,8
1999-06-02,64,Chen Shaoquan,35
-,7,Qian Liuru,1
1986-07-09,26,Osawa Kenro,5
1994-12-09,72,Huang Yancheng,38
1970-12-25,40,Aragaki Shun,12
1985-10-27,30,Lee Tahye,16
2003-04-30,36,Shi Jingyao,22
2007-03-06,7,Choi Minseo,1
1959-12-11,64,Hasegawa Sunao,29
1966-10-02,54,Feng Yun,48
1972-10-28,73,Konishi Kazuko,61
1974-06-22,85,Huang Xiangren,55
1997-05-05,13,Jeong Yeonwoo,3
1971-11-25,56,Tsukuda Akiko,41
1999-02-15,11,Toyoda Hirohito,2
1978-06-12,103,Kato Keiko,93
1983-11-23,80,Chen Yida,50
1971-10-19,66,Nakazawa Ayako,68
1974-07-28,149,Chinen Kaori,161
1974-02-27,7,Sakakibara Masateru,2
2006-04-20,4,Li Hanlin,1
1946-09-02,23,Wang Runan,6
1971-08-05,27,Endo Yoshifumi,11
1982-08-02,6,Tatsumi Akane,3
1974-08-05,63,Ye Gui,46
2000-11-10,29,Huang Ziping,7
-,44,Huang Xiupu,19
2001-12-13,3,Goto Mana,1
1977-09-27,11,Katsura Atsushi,3
2007-10-28,12,Yue Jiayan,3
1956-10-24,65,Kim Dongmyeon,35
1983-03-03,13,Hoshikawa Takumi,2
1961-07-12,13,Shimoji Gensho,5
1959-04-08,84,Cho Daehyeon,37
1991-10-24,40,Peng Zunde,16
1995-08-11,33,Kibe Natsuki,14
2006-03-24,7,Cho Kosumi,4
1980-04-02,8,Son Hideyo,2
1976-05-22,73,Osawa Narumi,42
1961-08-07,13,Hagiya Kazuhiro,8
1970-04-05,25,Nakao Jungo,7
1952-05-22,58,Hwang Weonjun,28
-,11,Dong Tianyi,1
1986-07-09,61,Wang Jingyi,35
1952-11-11,57,Kim Jongjoon,30
2004-01-20,15,Osuka Seira,9
1963-03-19,11,Takabayashi Masahiro,4
1983-06-16,61,Mannami Kana,44
1978-07-27,10,Yun Youngmin,2
1977-04-29,24,Takemiya Youkou,5
1990-09-04,69,Ding Shaojie,29
1980-07-04,123,Zhang Kaixin,61
1987-01-21,19,Oda Teppei,4
1965-08-11,18,Oki Keiji,5
1994-04-02,5,Sun Guanqun,1
2002-02-19,22,Liu Chuanting,11
2003-10-29,21,Zhang Tingwei,9
-,4,Wei Xintong,1
1952-09-17,189,Chang Suyeong,135
1977-04-06,15,O Yuinin,5
1983-11-07,63,Chen Yixiang,31
-,35,Yu Chengrui,20
1999-01-28,13,Cha Joohye,2
1973-07-09,23,Sugimoto Akira,8
1967-07-19,77,Zhou Keping,52
1989-07-26,17,Seki Tatsuya,3
2000-09-13,43,Wang Zhihong,14
1963-11-11,17,Konagai Masaru,3
1950-02-23,11,Lee Kisup,5
1999-03-17,16,Inaba Karin,8
1965-09-13,8,Sano Takatsugu,1
1979-11-26,27,Tamura Chiaki,15
2000-10-07,16,Kim Minjeong,2
1978-10-31,72,Izawa Akino,43
2002-06-23,12,Hane Ayaka,5
1995-01-28,16,Hashimoto Kan,3
2010-08-05,5,Xiao Ruishan,1
1982-09-26,13,Tang Ying,4
1957-02-12,48,Na Jonghoon,19
1942-05-06,725,Rin Kaiho,832
1981-10-05,59,Zhang Zhengping,24
1984-10-03,20,Nagashima Kozue,7
1974-07-27,16,Tahara Yasufumi,5
1970-06-22,81,Okada Yumiko,54
1990-06-03,5,Wang Xiangru,1
1993-02-11,25,Zhao Peizhe,9
1975-09-24,8,Yang Shuang,3
1937-07-04,72,Chino Tadahiko,22
2006-10-26,16,Chen Manqi,1
1970-05-19,58,Sakakibara Fumiko,34
-,17,Wang Pan,3
1969-10-20,23,Hosaka Mayu,6
1978-10-18,25,Nakajima Mieko,8
1974-11-17,56,Liu Jianchang,17
1966-12-03,19,Koyama Ryugo,8
2000-06-12,15,Tsuji Hana,2
1949-01-09,18,Yamamoto Masato,4
1970-05-01,15,Tsurumaru Keiichi,2
1996-08-05,106,Su Shengfang,38
1967-10-28,11,Kanno Masashi,1
1963-06-27,57,Tei Meiko,23
1959-05-30,50,Kang Manwoo,13
1987-09-20,19,Natalia Kovaleva,5
2003-07-18,9,Suzukawa Natsumi,1
1964-11-06,26,Kanno Naomi,14
1977-08-13,16,Sakamoto Yasuo,2
2002-08-14,18,Omori Ran,3
2006-05-17,11,You Haoyu,2
1949-04-02,35,Hua Yigang,23
1958-06-02,49,Dai Jiashen,32
1927-03-06,108,Sugiuchi Kazuko,87
1960-03-13,71,Peng Jinghua,35
1954-06-22,45,Ishikura Noboru,18
1954-09-28,69,Kobayashi Chizu,58
1954-10-08,13,Kim Joonyeong,3
1959-06-14,67,Lin Shengxian,32
1987-07-07,36,Shimosaka Miori,8
1979-01-16,26,Kim Hyunjong,5
1965-04-05,39,Mito Yukari,15
1989-04-16,68,Dang Xiyun,18
1993-03-19,15,Taguchi Misei,3
-,9,Wang Hui (f),2
1953-06-04,48,Chen Yongan,10
2004-04-05,8,Tsukada Chiharu,1
1964-12-15,24,Kin En,7
1993-11-09,13,Dong Youtang,1
1962-04-26,37,Komatsu Hideko,13
-,67,Lin Yuting,8
1987-10-23,47,Li Kuihan,8
1945-08-03,40,Chen Guoxing,6
-,32,Cai Wenhe,6
1950-06-29,15,Yoo Byungho,2
1956-10-27,50,Yang Zhide,20
1947-03-12,9,Chun Poongjo,2
2005-06-07,21,Shu Jingwen,2
1971-03-13,12,Tafu Kae,1
1991-01-20,18,Deguchi Mariko,1
1955-01-04,30,Han Cheolkyun,1
1998-05-08,51,Liu Yifang,9
